Chart,Purpose,Element,Interaction,value
Perished,Male,Adult,Crew,1
Perished,Male,Adult,Third Class,1
Perished,Male,Adult,Second Class,1
Perished,Male,Adult,First Class,1
Perished,Male,Child,Third Class,1
Perished,Female,Adult,Crew,1
Perished,Female,Adult,Third Class,1
Perished,Female,Adult,Second Class,1
Perished,Female,Adult,First Class,1
Perished,Female,Child,Third Class,1
Survived,Male,Adult,Crew,1
Survived,Male,Adult,Third Class,1
Survived,Male,Adult,Second Class,1
Survived,Male,Adult,First Class,1
Survived,Male,Child,Third Class,1
Survived,Male,Child,Second Class,1
Survived,Male,Child,First Class,1
Survived,Female,Adult,Crew,1
Survived,Female,Adult,Third Class,1
Survived,Female,Adult,Second Class,1
Survived,Female,Adult,First Class,1
Survived,Female,Child,Third Class,1
Survived,Female,Child,Second Class,1
Survived,Female,Child,First Class,1
